doctor_id,first_name,last_name,age,email,specialization,graduation_year,university_grade,educational_degree,hire_year,years_of_experience,rating_avg,salary,gender
382,Corey,Nichols,99,michaelyoung@example.org,Orthopedics,1995,C,Bachelor,2025,15,4.04,92066.25,male
390,Ashley,Jones,40,randy61@example.com,Radiology,1991,A,Bachelor,2024,8,1.49,27825.11,male
391,Anthony,Weaver,35,pvega@example.org,ICU,2001,D,PhD,2025,26,2.22,4760.8,male
411,Mark,Wilkins,84,rhonda64@example.org,Surgery,1984,B,PhD,2023,20,1.38,32068.26,female
425,Rhonda,Ali,34,matthewking@example.com,Pediatrics,2008,B,Bachelor,2025,13,3.08,99571.7,male
426,Christian,Anderson,75,sanchezdawn@example.net,Radiology,2024,C,Master,2023,23,4.85,45925.58,male
432,Tyler,Brooks,38,ashley99@example.net,Oncology,2019,A,Bachelor,2022,39,1.83,4157.96,male
433,Gloria,Patterson,71,william62@example.net,Orthopedics,2025,A,PhD,2021,18,3.05,43098.58,female
434,Susan,Crawford,88,scotttravis@example.com,Surgery,2019,C,Bachelor,2022,28,4.16,24739.15,male
445,Laura,Graham,61,leejames@example.org,Emergency,2021,C,PhD,2021,2,3.32,81555.87,male
464,Matthew,Anderson,61,evan78@example.net,Laboratory,2006,C,Master,2023,36,1.51,43203.74,female
469,David,Ochoa,53,klawson@example.com,Pediatrics,2016,A,Bachelor,2024,31,1.91,22880.91,female
485,Melissa,Hodge,76,zmoore@example.org,Pediatrics,2022,A,Master,2023,24,2.3,94078.62,female
488,Mikayla,Russell,71,robert26@example.com,Dermatology,2016,B,Bachelor,2022,13,1.99,21671.52,male
494,Tiffany,Patton,26,hgarza@example.net,Cardiology,1980,B,Master,2024,30,4.18,95023.18,male
497,Cynthia,Martinez,47,smiller@example.com,Cardiology,1988,C,Bachelor,2024,33,2.95,92760.64,female
500,Shawn,Lee,82,aguilarchristopher@example.com,Dermatology,1983,A,Bachelor,2023,6,1,38621.06,female
504,Marc,Williams,94,josephmercado@example.org,Pharmacy,1999,B,PhD,2024,39,1.93,99872.42,male
512,Kevin,French,30,johnsonchristine@example.com,Cardiology,1986,B,Bachelor,2024,34,4.75,18787.36,male
525,Daniel,Woods,75,zpacheco@example.net,ICU,1999,A,Master,2025,40,2.59,4116.18,female
533,Sherry,Hill,48,jolsen@example.net,Laboratory,1997,C,Master,2023,37,2.42,42206.6,female
560,Gina,Cunningham,79,hrodriguez@example.net,Radiology,1985,C,PhD,2021,2,1.87,86114.87,female
561,Anthony,Payne,55,kristina58@example.org,Surgery,2010,B,Master,2025,38,1.39,7015.49,male
564,Evan,Cantu,86,robertsdavid@example.net,Cardiology,1983,D,PhD,2025,8,3.53,35382.42,female
574,Gina,Tate,37,samantha01@example.net,Neurology,1998,D,PhD,2022,17,4.24,82795.26,male
591,Ashley,Moore,97,leslie24@example.org,ICU,2025,C,Master,2024,8,1.42,7020.05,female
603,Susan,Scott,73,wileyaudrey@example.com,Neurology,2016,D,Bachelor,2022,15,1.67,89367.02,female
611,Benjamin,Gonzalez,46,stephanie58@example.org,Orthopedics,1995,C,PhD,2021,14,1.67,12094.91,male
624,Lindsay,Medina,84,allen94@example.org,Dermatology,2015,B,Master,2021,5,1.43,99883.11,male
648,Ryan,Mcdaniel,91,heather69@example.org,Surgery,2019,C,PhD,2024,28,3.29,38684.32,female
651,Jose,Quinn,96,amywells@example.org,ICU,1982,D,Master,2024,17,3.78,86335.23,female
679,Tamara,Spence,24,richarddonovan@example.com,Radiology,1994,E,PhD,2025,36,3.32,58373.07,male
682,Mary,Vasquez,97,aliciasmall@example.net,Laboratory,1981,D,Bachelor,2025,34,1.26,57304.46,female
716,Matthew,Cooke,98,catherinemoore@example.com,Orthopedics,1981,B,PhD,2025,35,3.75,67157.11,female
726,Deborah,Brown,23,huangeric@example.org,ICU,2000,D,PhD,2025,6,3.41,70748.9,female
748,Jamie,Rowland,69,andersonleah@example.net,Cardiology,1985,C,PhD,2025,9,1.82,28960.35,female
752,Kristen,Hernandez,83,amykane@example.org,Surgery,1986,C,Bachelor,2024,29,4.16,6619.68,female
761,Susan,Lane,86,imurphy@example.com,Pediatrics,1985,B,Master,2022,18,1.72,21901.75,male
766,Randall,Smith,100,zstevens@example.net,Surgery,1985,E,Master,2022,27,4.59,30899.74,female
797,Angela,Grant,74,thomas75@example.net,Orthopedics,2022,E,Master,2021,18,3.64,46745.2,male
802,Kathleen,Krause,90,rodriguezbrianna@example.com,Laboratory,2020,D,Master,2021,40,3.18,13826.94,male
806,Austin,Russell,73,wfranklin@example.org,Neurology,2004,B,PhD,2025,18,3.09,79117.63,female
808,Samantha,Christensen,46,jennyjackson@example.com,ICU,1986,C,PhD,2021,36,2.79,33982.47,female
818,Timothy,Brown,23,sherry01@example.org,Pharmacy,2019,C,Master,2022,3,4.21,97005.8,male
826,Katherine,Joyce,92,jordanwallace@example.org,Neurology,2021,C,Bachelor,2025,24,2.31,11053.35,female
832,Brandon,Rodriguez,34,qkelly@example.net,Laboratory,2006,D,Bachelor,2021,13,2.53,24804.1,female
851,Juan,Gregory,71,kcook@example.net,Dermatology,2007,A,Bachelor,2022,21,3.99,91696.52,female
855,Christina,Pacheco,24,seanwatson@example.net,Laboratory,1995,C,Bachelor,2023,40,1.31,47979.73,female
863,John,Lamb,24,justin21@example.com,Orthopedics,1991,D,PhD,2022,34,3.79,31351.75,female
880,Keith,Nelson,90,sandra56@example.com,Laboratory,1992,B,PhD,2022,19,1.31,67437.86,male
896,Karen,Robinson,72,heather69@example.net,Cardiology,1985,C,PhD,2021,10,3.25,99542.2,female
897,Brian,Mills,66,abigail68@example.org,Dermatology,1986,D,PhD,2021,28,3.57,91768.78,male
902,Kaitlyn,Fleming,63,ecamacho@example.com,Laboratory,1987,E,PhD,2023,19,2.04,10333.96,female
905,Betty,Mueller,66,hutchinsonmatthew@example.com,Orthopedics,1993,D,Bachelor,2023,12,2.17,65261.12,male
914,Ian,Mitchell,77,nunezjennifer@example.com,Pharmacy,1980,A,PhD,2022,23,3.95,82181.3,male
923,Ebony,Oneal,25,bradshawsharon@example.net,Laboratory,2024,D,PhD,2022,18,1.35,17189.82,male
926,Kenneth,Butler,81,barbaramcclain@example.com,Pediatrics,2004,A,Master,2025,40,4.89,86874.7,female
928,Courtney,Hanson,91,bennettalan@example.org,Surgery,2016,E,PhD,2022,8,1.51,96659.97,male
932,David,Maldonado,53,erica17@example.net,Pediatrics,2025,A,Master,2022,8,4.36,67528.21,female
937,Becky,Simpson,35,nlee@example.net,Radiology,1986,A,Bachelor,2025,30,3.44,79589.89,male
966,Jeff,Anderson,97,danieljones@example.net,Oncology,2021,E,Bachelor,2023,7,4.62,66138.19,female
971,Corey,Morris,91,jessica86@example.com,Pediatrics,1994,B,Master,2024,13,3.31,60859.39,female
975,Kimberly,Lopez,95,brian21@example.net,Pediatrics,2025,A,Master,2025,27,2.05,44330.19,male
1013,Tyler,Jordan,59,omarpadilla@example.net,Pediatrics,1987,B,Bachelor,2024,12,4.59,45620.9,female
1030,Jared,Gates,89,jacobroach@example.net,Dermatology,2017,A,Bachelor,2022,9,4.83,80082.86,female
1068,Larry,Johns,88,evan23@example.net,Pharmacy,1985,C,Master,2023,36,1.76,74500.46,female
1076,Jessica,Thomas,62,sarah33@example.net,Cardiology,2015,B,Master,2023,39,3.18,71561.63,female
1078,Mary,Jackson,45,richard40@example.com,Neurology,2005,B,Master,2024,22,1.37,72680.59,male
1086,Anthony,Howell,29,rhamilton@example.net,Cardiology,1998,D,Bachelor,2022,12,1.64,5926.57,male
1116,Mary,Fox,52,kboyer@example.com,Orthopedics,1983,A,Bachelor,2023,10,4.47,26644.34,female
1125,Laura,Peterson,93,foxanthony@example.org,Orthopedics,1984,D,Bachelor,2023,28,2.67,99445.05,female
1145,Barbara,Nguyen,44,edwardmitchell@example.org,Emergency,1994,D,Master,2023,18,1.31,50628.61,female
1153,Danny,Reed,49,rebeccaaustin@example.net,ICU,2014,B,Bachelor,2023,34,4.64,44146.3,male
1165,Barbara,Bell,70,monicafuller@example.org,Pediatrics,1998,C,Bachelor,2024,19,3.47,40391.63,female
1166,Thomas,Anderson,59,carolynsmith@example.com,Dermatology,2023,C,Bachelor,2025,12,2.91,36646.72,male
1197,Katie,Yates,47,laurakelley@example.org,Emergency,1986,E,Master,2025,33,1.88,77492.47,male
1199,Amanda,Leonard,64,juliesantana@example.org,Emergency,2016,A,PhD,2023,25,2.75,92002.3,male
1207,Martha,King,88,pthomas@example.com,Cardiology,2009,C,Bachelor,2021,16,2.2,77943.11,male
1235,Courtney,Jones,61,vpeterson@example.net,Oncology,2006,D,PhD,2021,40,4.8,29297.1,female
1244,Gloria,Reeves,34,douglasbradley@example.com,Surgery,2017,A,Bachelor,2021,14,3.55,47114.21,male
1254,Stephanie,Poole,66,rebecca19@example.com,Pediatrics,2007,C,Bachelor,2023,39,1.56,41541.24,female
1259,Jillian,Thompson,42,yolandakim@example.com,Oncology,1994,A,Bachelor,2023,15,2.69,14468.61,female
1267,Michelle,Gardner,65,justinreeves@example.net,Cardiology,2024,A,Master,2022,32,2.36,87338.25,female
1278,Tina,Scott,55,petersonlindsey@example.com,Neurology,1986,B,Master,2021,40,3.63,81908.12,male
1292,Stephen,Hampton,44,ureynolds@example.net,Laboratory,2017,D,Bachelor,2024,13,1.07,56502.43,female
1296,Danny,Lowe,78,fpatrick@example.org,Dermatology,1993,B,PhD,2024,40,3.1,8389.49,male
1321,Shawn,Brown,24,lamroger@example.net,Surgery,2003,E,Master,2025,28,1.67,85483.81,female
1333,Robert,Burton,43,johnsoncandace@example.com,Orthopedics,1988,C,Bachelor,2024,13,2.81,87329.89,male
1348,Sean,Stafford,61,douglasdougherty@example.net,Cardiology,1999,A,Master,2021,17,2.6,60104.5,female
1353,Michelle,Austin,29,rcannon@example.com,Pharmacy,1997,B,Bachelor,2023,19,2.96,89067.9,male
1366,Theresa,Lane,53,ingrambrandon@example.com,Radiology,2016,C,PhD,2023,6,3.8,85612.36,male
1369,John,Phillips,88,farmermichelle@example.net,Laboratory,2018,B,Bachelor,2024,1,4.49,29557.98,female
1386,Eric,Butler,89,millerdaniel@example.org,Pediatrics,2001,C,PhD,2024,1,4.2,45341.4,male
1393,Jeremy,Holmes,41,steven65@example.net,Radiology,1993,C,Master,2021,30,3.77,52383.02,male
1398,James,Ward,42,adamcollins@example.org,Neurology,1983,E,Bachelor,2022,7,4.99,14358.75,male
1400,Kelly,Johnson,73,mkennedy@example.org,Radiology,2008,E,PhD,2023,28,4.64,80279.76,female
1407,John,Fletcher,60,markgoodman@example.com,Dermatology,2025,C,Bachelor,2022,19,1.3,58384.88,female
1420,William,Gray,33,tbrown@example.org,Pediatrics,1987,A,Bachelor,2022,2,4.38,15888.48,female
1435,Jill,Phillips,48,kennethsandoval@example.com,Dermatology,2011,E,Master,2021,38,4.13,84285.63,male
1459,Krystal,Webster,73,joshua50@example.com,Dermatology,2024,C,Bachelor,2025,18,2.9,79486.76,female
1475,Terri,Gonzalez,88,hilljean@example.org,Emergency,2011,E,Master,2022,36,1.64,40251.95,female
1514,Brittany,Cain,32,maria80@example.com,Orthopedics,1981,C,Bachelor,2023,5,3.82,2779.24,male
1522,Adam,Greer,39,robert73@example.net,Neurology,2003,B,PhD,2024,16,2.25,26607.99,female
1553,Jeffery,Rose,89,susanlong@example.net,Laboratory,1996,A,Master,2025,27,3.62,83289.85,female
1554,Keith,Salinas,54,hgregory@example.net,Surgery,2013,E,Bachelor,2023,30,1.39,71740.76,male
1576,Amber,Mcdowell,98,kristeningram@example.com,Cardiology,2023,D,PhD,2022,36,1.64,18134.17,female
1588,Rachael,Wright,24,johnsonbrian@example.com,Dermatology,2004,B,PhD,2022,1,2.89,36128.59,male
1600,Stephen,Foley,72,franklintrevor@example.org,Dermatology,1993,B,Bachelor,2022,14,4.88,45068.59,male
1617,Kelly,Hughes,64,hardyanita@example.org,Radiology,1991,A,Master,2025,15,1.12,81447.56,female
1634,Michael,George,65,udurham@example.net,Orthopedics,1981,C,Master,2023,15,1.65,40871.63,female
1649,Joseph,Poole,96,jacobhernandez@example.org,Oncology,2016,D,PhD,2022,40,4.54,20000.18,female
1651,Kristine,Edwards,55,hjohnson@example.net,Orthopedics,2011,D,PhD,2025,27,4.7,69142.52,female
1670,Natasha,Walters,98,david93@example.org,Neurology,2022,D,Master,2022,11,4.41,59720.87,male
1675,Yolanda,Vasquez,98,sandersalexandra@example.net,Dermatology,1982,A,Master,2025,11,1.78,44757.2,male
1682,Michelle,Cross,50,travis66@example.net,ICU,1982,B,Master,2021,5,4.83,99247.3,female
1684,Kimberly,Wilson,69,sierra53@example.net,Dermatology,1989,D,Master,2025,1,2.55,12409.25,female
1699,Summer,Welch,98,crystal96@example.net,Laboratory,1986,A,Bachelor,2022,2,2.83,75656.49,female
1706,Mary,Short,39,robertrodriguez@example.org,Dermatology,1999,A,Bachelor,2021,17,3.54,95396.93,male
1709,David,Walters,61,hilljennifer@example.org,Surgery,2009,A,Master,2025,1,1.57,43925.75,male
1710,Dawn,Sanders,94,jhahn@example.org,Pharmacy,1982,B,PhD,2021,22,3.24,92333.13,male
1723,Kelly,Poole,38,jasminedunn@example.com,Radiology,1986,D,PhD,2025,22,1.15,99693.41,male
1726,Daniel,Sherman,36,rsuarez@example.org,ICU,2025,D,PhD,2025,27,1.75,13054.23,male
1730,Jason,Ellison,98,pli@example.org,Neurology,2006,D,Bachelor,2021,37,2.33,23664.14,female
1755,Ashley,Watson,63,pthomas@example.net,Radiology,2003,A,PhD,2022,18,2.92,57745.93,male
1757,Donna,Gibson,28,kimberly12@example.com,Dermatology,1984,D,Master,2023,7,3.05,45255.27,female
1762,Catherine,Rios,39,sjackson@example.com,Neurology,1995,A,Master,2021,6,3.49,72274.02,male
1772,Christina,Holt,56,campbellmorgan@example.net,Pharmacy,1990,D,Bachelor,2025,2,2.06,33945,female
1783,Devin,Cruz,89,allen57@example.net,Pediatrics,2020,D,PhD,2025,28,3.03,87466.6,female
1792,Danny,Delgado,36,frank52@example.com,Pharmacy,1995,A,PhD,2024,27,2.4,56717.12,female
1801,Luis,Rivera,27,susan75@example.net,Orthopedics,1985,A,PhD,2022,30,4.76,39256.6,male
1805,Alexandra,Wilson,85,millercynthia@example.net,Cardiology,1988,B,PhD,2024,37,4.45,77937.18,male
1807,Megan,Sanchez,61,glee@example.net,Surgery,2009,C,Master,2023,8,4.4,6235.06,female
1814,Darlene,Walker,80,tjackson@example.net,Cardiology,1994,A,PhD,2024,1,2.44,54220.19,female
1820,Jason,Nichols,45,fieldssharon@example.com,Orthopedics,2008,D,Master,2021,9,1.38,98385.71,male
1832,Allison,Baldwin,49,george80@example.net,Emergency,1985,D,PhD,2024,20,1.66,21358.55,male
1870,Pamela,Stephenson,28,daniellecooper@example.org,Oncology,2010,D,Bachelor,2021,7,1.04,18660.15,male
1874,Steven,Short,91,michelletaylor@example.net,Surgery,2021,E,Master,2023,37,2.12,19460.11,female
1883,Thomas,Gutierrez,27,alyssa10@example.com,Pediatrics,2009,B,Bachelor,2025,8,3,28873.8,female
1905,Daniel,Gonzalez,31,mwalters@example.net,Neurology,2025,A,PhD,2022,2,1.36,5305.66,male
1930,Ashley,Perez,96,jameshenderson@example.com,Radiology,1997,B,Bachelor,2022,26,1.22,54386.27,female
1941,Matthew,Turner,28,angelaferguson@example.org,Neurology,2009,B,Bachelor,2024,37,4.18,24461.78,male
1950,Robert,Cummings,29,james71@example.org,Neurology,1995,D,Bachelor,2021,34,1.85,17318.76,male
1952,Makayla,Gill,57,brenda15@example.net,Laboratory,2016,D,Bachelor,2023,13,3.21,2621.55,female
1953,Jacob,Thompson,49,smithheather@example.com,Cardiology,1995,D,Bachelor,2023,40,2.25,63142.68,female
1957,James,Cervantes,72,justingoodman@example.com,Orthopedics,2024,C,PhD,2021,4,1.93,37692.44,female
1978,Nicole,Peterson,52,bonniesweeney@example.org,Radiology,1991,E,Bachelor,2025,6,1.39,27439.86,male
1994,Melissa,Miller,89,watkinskevin@example.net,ICU,1990,B,Master,2025,12,2.47,58124.05,male
1999,Alexis,Mcintyre,31,marc88@example.org,Pediatrics,1984,A,Master,2021,39,2.66,24226.64,male
2000,Sandra,Riley,58,christopher70@example.com,Laboratory,1997,C,Master,2021,19,3.15,89926.35,female
2006,Gloria,Avila,89,andrew30@example.com,Laboratory,1985,A,PhD,2021,10,4.7,25082.69,male
2021,Allison,Fernandez,60,kennedywanda@example.net,Dermatology,2013,A,Master,2021,13,3.79,27030.95,male
2038,Tonya,Perry,93,alexandriacook@example.net,Dermatology,1999,C,Bachelor,2025,12,2.11,45947.28,female
2043,Shawn,Robinson,83,brownkevin@example.com,Pharmacy,1995,A,PhD,2022,29,1.39,5859.08,female
2044,Kimberly,Adams,56,johnsonmark@example.org,Cardiology,2014,A,Master,2023,15,1.36,77669,male
2050,John,Jones,77,griffinemily@example.org,Pharmacy,1988,C,Bachelor,2023,6,3.62,26538.15,male
2057,Eileen,Doyle,29,ycase@example.net,Pharmacy,2005,D,Master,2025,39,3.72,5472.63,male
2067,Jennifer,Chavez,34,brandi26@example.net,ICU,2020,B,Bachelor,2022,32,1.81,46761.14,female
2085,Michael,Pace,35,amandamorrison@example.org,Oncology,2004,B,Bachelor,2025,32,3.98,25658.49,female
2091,Christy,Garza,46,michaelking@example.net,Surgery,2024,C,Bachelor,2021,26,3.53,61157.75,female
2102,Alexander,Mitchell,84,dawnmedina@example.com,Neurology,1994,E,Master,2022,37,3.16,48243.75,male
2126,Tara,Walsh,88,druiz@example.org,ICU,2006,C,Master,2025,38,4.56,31381.42,male
2134,David,Mathews,39,bbryant@example.org,Pharmacy,2015,B,PhD,2023,6,1.89,23886.14,female
2139,Justin,Palmer,50,sheryl00@example.com,Dermatology,2007,B,PhD,2021,33,3.17,60466.02,male
2159,Jennifer,Martin,95,lisa82@example.net,Pharmacy,2023,E,PhD,2022,2,3,90679.77,female
2161,Colleen,Bonilla,88,amy86@example.org,Radiology,1997,B,Bachelor,2021,11,3.69,59692.51,male
2170,James,Heath,82,mserrano@example.org,Neurology,2024,D,Bachelor,2024,20,3.74,71601.16,male
2172,Timothy,Warren,41,michaelcharles@example.org,Radiology,2013,B,PhD,2023,7,3.95,37608.93,female
2179,Cynthia,Marks,34,erica39@example.com,Cardiology,2007,A,Master,2025,40,1.83,19455.27,male
2180,Micheal,Nunez,42,ysilva@example.net,Surgery,2003,A,Bachelor,2021,20,2.78,76611.96,female
2189,Patrick,Lee,32,robertwatson@example.org,Orthopedics,1982,B,PhD,2025,31,1.01,46299.99,male
2214,Gina,Ross,79,johnross@example.org,Radiology,2001,A,PhD,2025,37,3.23,22491.77,female
2225,Mary,Cox,38,jeremy60@example.com,Surgery,1997,C,Master,2024,39,2.83,81101.32,male
2235,Alexis,Casey,61,williammartin@example.com,ICU,2016,D,PhD,2025,6,2.94,25672.33,male
2243,Mary,Vargas,51,virginia56@example.org,Surgery,2007,C,Bachelor,2025,25,3.29,45966.26,female
2267,Nicholas,Johnson,55,brandiwiggins@example.com,Dermatology,1984,A,Bachelor,2023,40,2,54721.02,female
2276,Isaiah,Jennings,58,bryanwallace@example.com,Laboratory,2020,D,PhD,2025,23,3.26,92931.85,male
2287,James,Wallace,92,kim83@example.com,Neurology,2015,D,Master,2024,25,1.35,41711.01,female
2314,Linda,Haney,42,mariajohnson@example.com,ICU,1989,A,Bachelor,2025,20,3.97,33805.71,female
2323,Dennis,Hughes,85,joseph35@example.net,Oncology,1983,C,Bachelor,2022,3,3.25,26077.15,female
2324,Diane,Williams,58,washingtondaniel@example.net,Dermatology,2022,D,Bachelor,2022,21,2.71,19713.83,female
2348,Erica,Sims,31,jeremywiley@example.com,Emergency,1983,A,Master,2025,6,1.42,62574.01,female
2360,Christopher,Munoz,38,angela87@example.org,Cardiology,1986,C,Bachelor,2025,27,3.67,60422.76,male
2421,Victor,Foster,85,joseph90@example.com,Pharmacy,2023,C,PhD,2024,5,3.21,75372.37,female
2429,Aaron,Brown,68,geraldcastro@example.net,Dermatology,1986,C,Bachelor,2021,38,3.62,5195.1,female
2430,Christopher,Adkins,57,christine89@example.net,Neurology,2019,D,Master,2025,29,2.97,51004.06,female
2456,Steve,Miller,45,barbara96@example.net,Emergency,1994,A,Bachelor,2022,16,4.16,4575.83,female
2459,Jennifer,Mendez,95,mclaughlinchristopher@example.org,Dermatology,1991,E,Bachelor,2024,37,2.57,31440.87,female
2463,Brett,Smith,63,spencer32@example.org,Radiology,1991,C,Master,2025,6,1.59,36991.21,male
2480,Julian,Woodard,90,michelefoster@example.org,Radiology,2023,E,PhD,2023,37,3.46,14089.4,male
2490,Jonathan,Conley,40,srodriguez@example.org,Emergency,1990,D,PhD,2024,31,3.6,76079.28,male
2492,Robert,Stewart,62,adamsdeborah@example.com,Oncology,1989,B,Bachelor,2025,18,3.51,14061.4,female
2503,Angela,Taylor,77,audrey12@example.org,Cardiology,1994,A,Bachelor,2021,39,4.82,65065.83,male
2515,Candice,Watson,31,goodwinjason@example.com,Pharmacy,2004,C,Master,2023,33,1.75,4431.63,male
2520,Jill,Vasquez,37,owilliamson@example.net,Oncology,2000,D,Bachelor,2023,18,1.23,6886.59,male
2521,Stephen,Black,89,stephanie27@example.net,Pharmacy,2025,A,PhD,2022,4,4.07,61158.72,male
2526,Jennifer,Robinson,77,annarivas@example.com,Radiology,2001,E,Master,2021,34,3.28,66670.83,female
2548,Mark,Avila,37,sloanveronica@example.org,ICU,1986,E,Master,2024,23,4.27,78954.41,female
2570,Emily,Gibson,64,ana12@example.com,Neurology,2011,C,Bachelor,2023,37,3.49,52901.94,male
2583,Amanda,Johnson,89,abradley@example.com,Orthopedics,2011,A,Master,2025,30,1.67,45736.1,male
2586,Brian,Rice,92,zwiley@example.net,Emergency,2011,E,PhD,2023,7,2.83,98649.56,male
2599,Robert,Bell,61,barbarasantos@example.net,Cardiology,2020,A,Master,2025,22,1.32,47044.66,female
2600,Mitchell,Terry,37,ievans@example.net,Cardiology,1985,D,PhD,2024,31,2.61,94261.32,male
2605,Susan,Russell,66,maciaskenneth@example.com,Cardiology,2010,A,Bachelor,2022,27,1.17,7454.02,male
2612,Alisha,Smith,73,lindsaypeterson@example.org,Oncology,1990,E,Bachelor,2022,26,4.19,85247.81,male
2615,Brenda,Huerta,45,sarah99@example.org,Radiology,2004,D,PhD,2023,36,3.45,44271.32,male
2620,Felicia,Turner,78,michael31@example.net,Surgery,2010,B,Bachelor,2022,6,2.26,77801.04,male
2630,Cole,Howard,24,hillshelley@example.org,ICU,2020,E,PhD,2025,15,1.31,86470.53,female
2632,Bryan,Wood,40,cynthiacole@example.org,Emergency,2001,D,PhD,2024,11,1.29,93604.87,female
2668,Haley,Best,56,pedro98@example.org,Emergency,2009,A,PhD,2024,39,1.24,94087.94,female
2673,Natasha,Brown,58,flemingcody@example.org,Dermatology,2002,E,Master,2025,24,2.55,76732.07,male
2674,Heather,Chapman,37,nicholas65@example.net,Laboratory,2014,B,Bachelor,2022,11,4.01,66655.02,female
2740,Joshua,Phillips,91,ibradley@example.net,Orthopedics,1985,B,Bachelor,2024,7,4.57,90809.32,male
2741,Carrie,Cochran,91,seanwheeler@example.com,Dermatology,1985,B,Bachelor,2025,20,1.09,25345.37,female
2753,Evan,Garrison,70,annarussell@example.net,Oncology,1994,C,Master,2025,40,4.86,53288.05,male
2755,Ashley,Martinez,43,sarahwells@example.net,Emergency,1985,C,PhD,2025,39,2.58,36286.65,male
2760,Stacey,Bradley,24,michael70@example.net,ICU,1995,E,Master,2024,3,1.43,89945.17,female
2762,Deanna,Stein,38,skinnereileen@example.org,Laboratory,1987,B,PhD,2022,1,3.22,80450.27,male
2770,Alexandria,Gonzalez,23,mallory90@example.org,Pharmacy,1995,B,PhD,2025,37,4.31,2940.93,male
2771,Harold,Burns,75,webbamanda@example.net,Orthopedics,2007,C,Bachelor,2023,13,2.14,89098.92,female
2815,Nicholas,Craig,28,steeleamanda@example.com,Surgery,1981,D,Master,2021,24,4.32,66518.04,male
2816,Emily,Hampton,24,portermeghan@example.org,Emergency,2007,C,Master,2024,5,3.49,20301.19,male
2835,Matthew,Farmer,31,matthew75@example.net,Dermatology,1987,E,Master,2021,11,2.91,82528.6,female
2837,Carl,Robinson,43,christiecastillo@example.com,Radiology,2009,C,Master,2022,5,4.2,12303.7,female
2844,Kelsey,Harding,45,samantha88@example.net,Pharmacy,2016,B,Bachelor,2022,25,2.16,50077.39,female
2857,Wendy,Gonzalez,58,flamb@example.com,Orthopedics,1990,E,Master,2021,22,2.87,93874.46,female
